dataset,modification,percentage,method,metric,value
Dancer 01,betweenness asc,0.1,Infomap,Modularity,0.6055747098886897
Dancer 01,betweenness asc,0.1,Infomap,NMI,0.5425637571825124
Dancer 01,betweenness asc,0.1,Label Propagation,P,12.0
Dancer 01,betweenness asc,0.1,Label Propagation,P*/P,0.5
Dancer 01,betweenness asc,0.1,Label Propagation,Modularity,0.580281120604829
Dancer 01,betweenness asc,0.1,Label Propagation,NMI,0.6964982817160128
Dancer 01,betweenness asc,0.1,Louvain,P,17.0
Dancer 01,betweenness asc,0.1,Louvain,P*/P,0.35294117647058826
Dancer 01,betweenness asc,0.1,Louvain,Modularity,0.6525174781572078
Dancer 01,betweenness asc,0.1,Louvain,NMI,0.7488603542788874
Dancer 01,betweenness desc,0.1,Louvain-igraph,P,30.0
Dancer 01,betweenness desc,0.1,Louvain-igraph,P*/P,0.2
Dancer 01,betweenness desc,0.1,Louvain-igraph,Modularity,0.6669915371122749
Dancer 01,betweenness desc,0.1,Louvain-igraph,NMI,0.7260385584900301
Dancer 01,betweenness desc,0.1,Fastgreedy,P,30.0
Dancer 01,betweenness desc,0.1,Fastgreedy,P*/P,0.2
Dancer 01,betweenness desc,0.1,Fastgreedy,Modularity,0.6556938331984503
Dancer 01,betweenness desc,0.1,Fastgreedy,NMI,0.6859661587759588
Dancer 01,betweenness desc,0.1,Infomap,P,126.0
Dancer 01,betweenness desc,0.1,Infomap,P*/P,0.047619047619047616
Dancer 01,betweenness desc,0.1,Infomap,Modularity,0.6199010028850758
Dancer 01,betweenness desc,0.1,Infomap,NMI,0.5342354013484316
Dancer 01,betweenness desc,0.1,Label Propagation,P,27.0
Dancer 01,betweenness desc,0.1,Label Propagation,P*/P,0.2222222222222222
Dancer 01,betweenness desc,0.1,Label Propagation,Modularity,0.6658282387005687
Dancer 01,betweenness desc,0.1,Label Propagation,NMI,0.7706760037866653
Dancer 01,betweenness desc,0.1,Louvain,P,30.0
Dancer 01,betweenness desc,0.1,Louvain,P*/P,0.2
Dancer 01,betweenness desc,0.1,Louvain,Modularity,0.6678679079163572
Dancer 01,betweenness desc,0.1,Louvain,NMI,0.7156756040997614
Dancer 01,betweenness asc,0.2,Louvain-igraph,P,41.0
Dancer 01,betweenness asc,0.2,Louvain-igraph,P*/P,0.14634146341463414
Dancer 01,betweenness asc,0.2,Louvain-igraph,Modularity,0.6561367887011749
Dancer 01,betweenness asc,0.2,Louvain-igraph,NMI,0.6829583441110885
Dancer 01,betweenness asc,0.2,Fastgreedy,P,40.0
Dancer 01,betweenness asc,0.2,Fastgreedy,P*/P,0.15
Dancer 01,betweenness asc,0.2,Fastgreedy,Modularity,0.6458591807542617
Dancer 01,betweenness asc,0.2,Fastgreedy,NMI,0.65852411273668
Dancer 01,betweenness asc,0.2,Infomap,P,145.0
Dancer 01,betweenness asc,0.2,Infomap,P*/P,0.041379310344827586
Dancer 01,betweenness asc,0.2,Infomap,Modularity,0.6049763776535352
Dancer 01,betweenness asc,0.2,Infomap,NMI,0.5140394202335875
Dancer 01,betweenness asc,0.2,Label Propagation,P,35.0
Dancer 01,betweenness asc,0.2,Label Propagation,P*/P,0.17142857142857143
Dancer 01,betweenness asc,0.2,Label Propagation,Modularity,0.652908612318145
Dancer 01,betweenness asc,0.2,Label Propagation,NMI,0.7128417591948069
Dancer 01,betweenness asc,0.2,Louvain,P,40.0
Dancer 01,betweenness asc,0.2,Louvain,P*/P,0.15
Dancer 01,betweenness asc,0.2,Louvain,Modularity,0.6552422786738128
Dancer 01,betweenness asc,0.2,Louvain,NMI,0.671434955505831
Dancer 01,betweenness desc,0.2,Louvain-igraph,P,59.0
Dancer 01,betweenness desc,0.2,Louvain-igraph,P*/P,0.1016949152542373
