dataset,modification,percentage,method,metric,value
Dancer 01,random asc,0.7000000000000001,Infomap,P*/P,0.012048192771084338
Dancer 01,random asc,0.7000000000000001,Infomap,Modularity,0.6095257582900045
Dancer 01,random asc,0.7000000000000001,Infomap,NMI,0.37589186700824345
Dancer 01,random asc,0.7000000000000001,Label Propagation,P,391.0
Dancer 01,random asc,0.7000000000000001,Label Propagation,P*/P,0.015345268542199489
Dancer 01,random asc,0.7000000000000001,Label Propagation,Modularity,0.6998705317579944
Dancer 01,random asc,0.7000000000000001,Label Propagation,NMI,0.4245037979837666
Dancer 01,random asc,0.7000000000000001,Louvain,P,372.0
Dancer 01,random asc,0.7000000000000001,Louvain,P*/P,0.016129032258064516
Dancer 01,random asc,0.7000000000000001,Louvain,Modularity,0.7223845371788535
Dancer 01,random asc,0.7000000000000001,Louvain,NMI,0.418846959925804
Dancer 01,random asc,0.8,Louvain-igraph,P,584.0
Dancer 01,random asc,0.8,Louvain-igraph,P*/P,0.010273972602739725
Dancer 01,random asc,0.8,Louvain-igraph,Modularity,0.7738814513719926
Dancer 01,random asc,0.8,Louvain-igraph,NMI,0.3939730413983188
Dancer 01,random asc,0.8,Fastgreedy,P,587.0
Dancer 01,random asc,0.8,Fastgreedy,P*/P,0.010221465076660987
Dancer 01,random asc,0.8,Fastgreedy,Modularity,0.7771294772595011
Dancer 01,random asc,0.8,Fastgreedy,NMI,0.4055510532008596
Dancer 01,random asc,0.8,Infomap,P,699.0
Dancer 01,random asc,0.8,Infomap,P*/P,0.008583690987124463
Dancer 01,random asc,0.8,Infomap,Modularity,0.6676642273376373
Dancer 01,random asc,0.8,Infomap,NMI,0.37479413151360486
Dancer 01,random asc,0.8,Label Propagation,P,667.0
Dancer 01,random asc,0.8,Label Propagation,P*/P,0.008995502248875561
Dancer 01,random asc,0.8,Label Propagation,Modularity,0.6691902469432118
Dancer 01,random asc,0.8,Label Propagation,NMI,0.36837337597211706
Dancer 01,random asc,0.8,Louvain,P,585.0
Dancer 01,random asc,0.8,Louvain,P*/P,0.010256410256410256
Dancer 01,random asc,0.8,Louvain,Modularity,0.7779419154200928
Dancer 01,random asc,0.8,Louvain,NMI,0.3975877278509406
Dancer 01,random asc,0.9,Louvain-igraph,P,978.0
Dancer 01,random asc,0.9,Louvain-igraph,P*/P,0.006134969325153374
Dancer 01,random asc,0.9,Louvain-igraph,Modularity,0.886401978170364
Dancer 01,random asc,0.9,Louvain-igraph,NMI,0.3814728663556084
Dancer 01,random asc,0.9,Fastgreedy,P,979.0
Dancer 01,random asc,0.9,Fastgreedy,P*/P,0.006128702757916241
Dancer 01,random asc,0.9,Fastgreedy,Modularity,0.8838981836265638
Dancer 01,random asc,0.9,Fastgreedy,NMI,0.38499250458320683
Dancer 01,random asc,0.9,Infomap,P,1031.0
Dancer 01,random asc,0.9,Infomap,P*/P,0.005819592628516004
Dancer 01,random asc,0.9,Infomap,Modularity,0.822670046501508
Dancer 01,random asc,0.9,Infomap,NMI,0.37812382112549003
Dancer 01,random asc,0.9,Label Propagation,P,1036.0
Dancer 01,random asc,0.9,Label Propagation,P*/P,0.005791505791505791
Dancer 01,random asc,0.9,Label Propagation,Modularity,0.8110377624019851
Dancer 01,random asc,0.9,Label Propagation,NMI,0.37911859819405597
Dancer 01,random asc,0.9,Louvain,P,978.0
Dancer 01,random asc,0.9,Louvain,P*/P,0.006134969325153374
Dancer 01,random asc,0.9,Louvain,Modularity,0.8868258964879523
Dancer 01,random asc,0.9,Louvain,NMI,0.37873705479006975
Dancer 01,betweenness asc,0.0,Louvain-igraph,P,9.0
Dancer 01,betweenness asc,0.0,Louvain-igraph,P*/P,0.6666666666666666
Dancer 01,betweenness asc,0.0,Louvain-igraph,Modularity,0.6493705588699038
Dancer 01,betweenness asc,0.0,Louvain-igraph,NMI,0.7748315205164412
Dancer 01,betweenness asc,0.0,Fastgreedy,P,8.0
Dancer 01,betweenness asc,0.0,Fastgreedy,P*/P,0.75
Dancer 01,betweenness asc,0.0,Fastgreedy,Modularity,0.6405248819384323
Dancer 01,betweenness asc,0.0,Fastgreedy,NMI,0.7592452773222022
Dancer 01,betweenness asc,0.0,Infomap,P,95.0
Dancer 01,betweenness asc,0.0,Infomap,P*/P,0.06315789473684211
Dancer 01,betweenness asc,0.0,Infomap,Modularity,0.6051574899436201
Dancer 01,betweenness asc,0.0,Infomap,NMI,0.5591850397844547
Dancer 01,betweenness asc,0.0,Label Propagation,P,7.0
Dancer 01,betweenness asc,0.0,Label Propagation,P*/P,0.8571428571428571
Dancer 01,betweenness asc,0.0,Label Propagation,Modularity,0.6469916362459794
Dancer 01,betweenness asc,0.0,Label Propagation,NMI,0.8027060423411333
Dancer 01,betweenness asc,0.0,Louvain,P,9.0
Dancer 01,betweenness asc,0.0,Louvain,P*/P,0.6666666666666666
Dancer 01,betweenness asc,0.0,Louvain,Modularity,0.6490016164704594
Dancer 01,betweenness asc,0.0,Louvain,NMI,0.7723614321749338
Dancer 01,betweenness desc,0.0,Louvain-igraph,P,8.0
Dancer 01,betweenness desc,0.0,Louvain-igraph,P*/P,0.75
Dancer 01,betweenness desc,0.0,Louvain-igraph,Modularity,0.6484513558559752
Dancer 01,betweenness desc,0.0,Louvain-igraph,NMI,0.7904807073256612
Dancer 01,betweenness desc,0.0,Fastgreedy,P,8.0
Dancer 01,betweenness desc,0.0,Fastgreedy,P*/P,0.75
Dancer 01,betweenness desc,0.0,Fastgreedy,Modularity,0.6405248819384323
Dancer 01,betweenness desc,0.0,Fastgreedy,NMI,0.7592452773222022
Dancer 01,betweenness desc,0.0,Infomap,P,98.0
Dancer 01,betweenness desc,0.0,Infomap,P*/P,0.061224489795918366
Dancer 01,betweenness desc,0.0,Infomap,Modularity,0.6042705855864818
Dancer 01,betweenness desc,0.0,Infomap,NMI,0.5605357988981042
Dancer 01,betweenness desc,0.0,Label Propagation,P,6.0
Dancer 01,betweenness desc,0.0,Label Propagation,P*/P,1.0
Dancer 01,betweenness desc,0.0,Label Propagation,Modularity,0.6473558448492428
Dancer 01,betweenness desc,0.0,Label Propagation,NMI,0.8158716219418021
Dancer 01,betweenness desc,0.0,Louvain,P,9.0
Dancer 01,betweenness desc,0.0,Louvain,P*/P,0.6666666666666666
Dancer 01,betweenness desc,0.0,Louvain,Modularity,0.6491404687328961
Dancer 01,betweenness desc,0.0,Louvain,NMI,0.7732878229917862
Dancer 01,betweenness asc,0.1,Louvain-igraph,P,17.0
Dancer 01,betweenness asc,0.1,Louvain-igraph,P*/P,0.35294117647058826
Dancer 01,betweenness asc,0.1,Louvain-igraph,Modularity,0.6549541930859134
Dancer 01,betweenness asc,0.1,Louvain-igraph,NMI,0.735731038322524
Dancer 01,betweenness asc,0.1,Fastgreedy,P,17.0
Dancer 01,betweenness asc,0.1,Fastgreedy,P*/P,0.35294117647058826
Dancer 01,betweenness asc,0.1,Fastgreedy,Modularity,0.6486454108300943
Dancer 01,betweenness asc,0.1,Fastgreedy,NMI,0.7158133173254301
Dancer 01,betweenness asc,0.1,Infomap,P,106.0
Dancer 01,betweenness asc,0.1,Infomap,P*/P,0.05660377358490566
Dancer 01,betweenness asc,0.1,Infomap,Modularity,0.6071422509266625
Dancer 01,betweenness asc,0.1,Infomap,NMI,0.5374413981571373
Dancer 01,betweenness asc,0.1,Label Propagation,P,17.0
Dancer 01,betweenness asc,0.1,Label Propagation,P*/P,0.35294117647058826
Dancer 01,betweenness asc,0.1,Label Propagation,Modularity,0.6513953780761421
Dancer 01,betweenness asc,0.1,Label Propagation,NMI,0.7747850998650895
Dancer 01,betweenness asc,0.1,Louvain,P,17.0
Dancer 01,betweenness asc,0.1,Louvain,P*/P,0.35294117647058826
Dancer 01,betweenness asc,0.1,Louvain,Modularity,0.6545333602416148
Dancer 01,betweenness asc,0.1,Louvain,NMI,0.7347924628168733
Dancer 01,betweenness desc,0.1,Louvain-igraph,P,25.0
Dancer 01,betweenness desc,0.1,Louvain-igraph,P*/P,0.24
Dancer 01,betweenness desc,0.1,Louvain-igraph,Modularity,0.669374493763784
Dancer 01,betweenness desc,0.1,Louvain-igraph,NMI,0.7495060953501973
Dancer 01,betweenness desc,0.1,Fastgreedy,P,24.0
Dancer 01,betweenness desc,0.1,Fastgreedy,P*/P,0.25
Dancer 01,betweenness desc,0.1,Fastgreedy,Modularity,0.6542365701971786
Dancer 01,betweenness desc,0.1,Fastgreedy,NMI,0.6995534690630721
Dancer 01,betweenness desc,0.1,Infomap,P,123.0
Dancer 01,betweenness desc,0.1,Infomap,P*/P,0.04878048780487805
Dancer 01,betweenness desc,0.1,Infomap,Modularity,0.6190755649033199
Dancer 01,betweenness desc,0.1,Infomap,NMI,0.5334494682092997
Dancer 01,betweenness desc,0.1,Label Propagation,P,23.0
Dancer 01,betweenness desc,0.1,Label Propagation,P*/P,0.2608695652173913
Dancer 01,betweenness desc,0.1,Label Propagation,Modularity,0.6668815789383897
Dancer 01,betweenness desc,0.1,Label Propagation,NMI,0.7726188587133631
Dancer 01,betweenness desc,0.1,Louvain,P,24.0
Dancer 01,betweenness desc,0.1,Louvain,P*/P,0.25
Dancer 01,betweenness desc,0.1,Louvain,Modularity,0.6690753260724188
Dancer 01,betweenness desc,0.1,Louvain,NMI,0.7440483469379355
Dancer 01,betweenness asc,0.2,Louvain-igraph,P,31.0
